dataset,algorithm,avg,max,min,recall,knn,n_queries,num_measure_runs,avg_all,max_all,min_all,ef_search,M,ef_construction,ivf_nprobe
contriever-768,ivf_faiss,8.138301599129408,12.190818786621094,5.009174346923828,0.9575999999999767,10,10000,1,8.360334181785584,19.688844680786133,5.009174346923828,0,0,0,26
contriever-768,ivf_faiss,7.544141819655035,11.384725570678711,4.581451416015625,0.9544599999999751,10,10000,1,7.7431232213974,16.310930252075195,4.581451416015625,0,0,0,24
contriever-768,ivf_faiss,6.944978781560706,10.530710220336914,4.059314727783203,0.9505999999999732,10,10000,1,7.128475856781006,15.27857780456543,4.059314727783203,0,0,0,22
contriever-768,ivf_faiss,6.532793345963017,10.012626647949219,3.72314453125,0.9466399999999728,10,10000,1,6.708129835128784,13.963460922241211,3.72314453125,0,0,0,20
contriever-768,ivf_faiss,5.89503504981561,9.144306182861328,3.1914710998535156,0.9416799999999721,10,10000,1,6.0517594575881954,14.234781265258789,3.1914710998535156,0,0,0,18
contriever-768,ivf_faiss,5.2915950321138485,8.296966552734375,2.8076171875,0.9356199999999734,10,10000,1,5.422351598739624,14.265298843383789,2.8076171875,0,0,0,16
contriever-768,ivf_faiss,4.6671590888102275,7.428407669067383,2.564668655395508,0.9277399999999719,10,10000,1,4.783056163787842,12.441873550415039,2.564668655395508,0,0,0,14
contriever-768,ivf_faiss,4.046120476356529,6.514549255371094,2.113819122314453,0.9175099999999735,10,10000,1,4.153040909767151,10.472297668457031,2.113819122314453,0,0,0,12
contriever-768,ivf_faiss,3.423989615827234,5.581140518188477,1.6276836395263672,0.9035599999999733,10,10000,1,3.5139260292053223,9.11092758178711,1.6276836395263672,0,0,0,10
contriever-768,ivf_faiss,2.8017868391405965,4.646062850952148,1.2595653533935547,0.8848899999999731,10,10000,1,2.880354905128479,8.343696594238281,1.2595653533935547,0,0,0,8
contriever-768,ivf_faiss,2.178192434905355,3.676176071166992,0.9260177612304688,0.8571699999999766,10,10000,1,2.2424773454666136,6.80088996887207,0.9260177612304688,0,0,0,6
contriever-768,ivf_faiss,1.5628535824103702,2.6848316192626953,0.5941390991210938,0.8078399999999873,10,10000,1,1.609390664100647,8.161067962646484,0.43773651123046875,0,0,0,4
contriever-768,ivf_faiss,0.9239800859818881,1.5676021575927734,0.31375885009765625,0.6888599999999913,10,10000,1,0.9542807579040528,4.317283630371094,0.31375885009765625,0,0,0,2
instructorxl-arxiv-768,ivf_faiss,127.11569003900223,154.64329719543457,100.5241870880127,0.9996999999999999,10,1000,1,128.8294939994812,243.20626258850098,100.5241870880127,0,0,0,512
instructorxl-arxiv-768,ivf_faiss,61.22786372598976,73.84967803955078,48.83742332458496,0.9972999999999997,10,1000,1,61.14487433433533,76.23028755187988,46.128273010253906,0,0,0,256
instructorxl-arxiv-768,ivf_faiss,53.1979459880454,63.95840644836426,42.17696189880371,0.9965999999999996,10,1000,1,53.161566972732544,66.96820259094238,39.77346420288086,0,0,0,224
instructorxl-arxiv-768,ivf_faiss,47.19774274208285,57.2817325592041,36.56649589538574,0.9959999999999996,10,1000,1,47.105589628219604,59.30805206298828,34.18612480163574,0,0,0,192
instructorxl-arxiv-768,ivf_faiss,39.71502427163163,48.48670959472656,30.63035011291504,0.9947999999999994,10,1000,1,39.63202619552612,49.88241195678711,26.744604110717773,0,0,0,160
instructorxl-arxiv-768,ivf_faiss,35.87047065176615,43.62773895263672,27.727365493774414,0.9937999999999991,10,1000,1,35.81321430206299,45.13430595397949,25.434494018554688,0,0,0,144
instructorxl-arxiv-768,ivf_faiss,31.264447392905254,38.30718994140625,24.05858039855957,0.9928999999999991,10,1000,1,31.205536127090454,39.14642333984375,20.62535285949707,0,0,0,128
instructorxl-arxiv-768,ivf_faiss,28.16728272741798,35.14719009399414,21.233797073364258,0.991399999999999,10,1000,1,28.127731800079346,38.25020790100098,18.279552459716797,0,0,0,112
instructorxl-arxiv-768,ivf_faiss,24.351489073827608,30.19571304321289,18.140792846679688,0.9880999999999985,10,1000,1,24.31980848312378,34.3317985534668,16.83664321899414,0,0,0,96
instructorxl-arxiv-768,ivf_faiss,20.53154130837113,26.1232852935791,14.908313751220703,0.9849999999999983,10,1000,1,20.504369020462036,28.769493103027344,13.309478759765625,0,0,0,80
instructorxl-arxiv-768,ivf_faiss,16.603712628527386,21.266937255859375,11.998653411865234,0.980599999999998,10,1000,1,16.61678385734558,22.825241088867188,10.482549667358398,0,0,0,64
instructorxl-arxiv-768,ivf_faiss,14.30174553430773,18.251657485961914,10.34998893737793,0.9774999999999979,10,1000,1,14.285557270050049,20.45917510986328,9.095430374145508,0,0,0,56
instructorxl-arxiv-768,ivf_faiss,12.662511032947865,16.253948211669922,9.068489074707031,0.9721999999999971,10,1000,1,12.68869948387146,19.17243003845215,8.162975311279297,0,0,0,48
instructorxl-arxiv-768,ivf_faiss,10.458850521382278,13.679742813110352,7.249116897583008,0.9667999999999969,10,1000,1,10.458527088165283,16.184091567993164,6.227254867553711,0,0,0,40
instructorxl-arxiv-768,ivf_faiss,8.71293049480182,11.566877365112305,5.9947967529296875,0.9569999999999962,10,1000,1,8.721642017364502,12.742280960083008,5.182504653930664,0,0,0,32
instructorxl-arxiv-768,ivf_faiss,7.6811798219758325,10.25247573852539,5.065441131591797,0.9467999999999965,10,1000,1,7.701357126235962,12.003421783447266,4.544734954833984,0,0,0,28
instructorxl-arxiv-768,ivf_faiss,7.211051820739498,9.655475616455078,4.7512054443359375,0.9427999999999963,10,1000,1,7.2136619091033936,10.749101638793945,4.316568374633789,0,0,0,26
instructorxl-arxiv-768,ivf_faiss,6.728864920259726,9.218215942382812,4.236459732055664,0.9377999999999963,10,1000,1,6.741976737976074,10.120630264282227,3.949880599975586,0,0,0,24
instructorxl-arxiv-768,ivf_faiss,6.1901137459241875,8.428096771240234,3.966093063354492,0.9322999999999961,10,1000,1,6.212692737579346,10.60938835144043,3.8285255432128906,0,0,0,22
instructorxl-arxiv-768,ivf_faiss,5.652051107946578,7.770061492919922,3.6127567291259766,0.9260999999999957,10,1000,1,5.671123504638672,9.396791458129883,3.082752227783203,0,0,0,20
instructorxl-arxiv-768,ivf_faiss,5.139377945703818,7.147312164306641,3.2205581665039062,0.9189999999999963,10,1000,1,5.153601169586182,8.945703506469727,2.6934146881103516,0,0,0,18
instructorxl-arxiv-768,ivf_faiss,4.527552889895464,6.280660629272461,2.8960704803466797,0.9085999999999964,10,1000,1,4.558036804199219,8.350133895874023,2.431631088256836,0,0,0,16
