dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
gist-960-euclidean,pdx-bsa-decimpr,1.05392,2.05848,0.460545,0.236,4,8,10,1000,0.2,1,1.113,4.384,0.4605,0
gist-960-euclidean,pdx-bsa-decimpr,0.906071,1.50259,0.487142,0.2081,2,8,10,1000,0.2,1,0.9392,4.501,0.4871,0
deep-image-96-angular,pdx-bsa-decimpr,10.65,18.8675,3.5044,0.843897,512,8,10,10000,0.2,1,10.69,24.29,3.504,0
deep-image-96-angular,pdx-bsa-decimpr,6.09669,11.3235,1.90918,0.838736,256,8,10,10000,0.2,1,6.16,16.82,1.909,0
deep-image-96-angular,pdx-bsa-decimpr,5.48412,10.1951,1.65845,0.836935,224,8,10,10000,0.2,1,5.554,13.53,1.658,0
deep-image-96-angular,pdx-bsa-decimpr,4.7754,8.79976,1.44129,0.834824,192,8,10,10000,0.2,1,4.845,18.16,1.441,0
deep-image-96-angular,pdx-bsa-decimpr,4.03279,7.39163,1.32905,0.831454,160,8,10,10000,0.2,1,4.109,17.58,1.329,0
deep-image-96-angular,pdx-bsa-decimpr,3.85355,7.243,1.2098,0.829623,144,8,10,10000,0.2,1,3.93,14.19,1.21,0
deep-image-96-angular,pdx-bsa-decimpr,3.30792,6.09215,1.05155,0.826973,128,8,10,10000,0.2,1,3.373,8.557,1.052,0
deep-image-96-angular,pdx-bsa-decimpr,3.14917,5.8885,0.970714,0.823702,112,8,10,10000,0.2,1,3.224,8.641,0.9707,0
deep-image-96-angular,pdx-bsa-decimpr,2.64125,4.89062,0.861482,0.819051,96,8,10,10000,0.2,1,2.7,7.026,0.8615,0
deep-image-96-angular,pdx-bsa-decimpr,2.4331,4.57578,0.76819,0.81283,80,8,10,10000,0.2,1,2.497,8.242,0.7682,0
deep-image-96-angular,pdx-bsa-decimpr,1.9653,3.7008,0.628834,0.80367,64,8,10,10000,0.2,1,2.016,12.67,0.6288,0
deep-image-96-angular,pdx-bsa-decimpr,1.72419,3.20737,0.569084,0.79704,56,8,10,10000,0.2,1,1.767,5.741,0.5691,0
deep-image-96-angular,pdx-bsa-decimpr,1.64023,3.08809,0.555009,0.7887,48,8,10,10000,0.2,1,1.682,11.17,0.555,0
deep-image-96-angular,pdx-bsa-decimpr,1.43263,2.67156,0.499735,0.77741,40,8,10,10000,0.2,1,1.471,4.033,0.4997,0
deep-image-96-angular,pdx-bsa-decimpr,1.15931,2.12783,0.414801,0.7625,32,8,10,10000,0.2,1,1.189,7.366,0.4148,0
deep-image-96-angular,pdx-bsa-decimpr,1.02727,1.86247,0.392442,0.75232,28,8,10,10000,0.2,1,1.052,3.044,0.3924,0
deep-image-96-angular,pdx-bsa-decimpr,0.992441,1.78144,0.387333,0.74633,26,8,10,10000,0.2,1,1.017,5.604,0.3873,0
deep-image-96-angular,pdx-bsa-decimpr,0.975719,1.76328,0.389707,0.73942,24,8,10,10000,0.2,1,1.003,6.611,0.3897,0
deep-image-96-angular,pdx-bsa-decimpr,0.929361,1.66674,0.378589,0.731591,22,8,10,10000,0.2,1,0.9534,4.683,0.3786,0
deep-image-96-angular,pdx-bsa-decimpr,0.867037,1.53465,0.362843,0.722472,20,8,10,10000,0.2,1,0.8887,3.34,0.3628,0
deep-image-96-angular,pdx-bsa-decimpr,0.795294,1.39801,0.338212,0.711633,18,8,10,10000,0.2,1,0.8151,2.16,0.3382,0
deep-image-96-angular,pdx-bsa-decimpr,0.694851,1.19524,0.307879,0.699703,16,8,10,10000,0.2,1,0.7103,2.945,0.3079,0
deep-image-96-angular,pdx-bsa-decimpr,0.635969,1.07572,0.295649,0.685074,14,8,10,10000,0.2,1,0.6502,2.317,0.2956,0
deep-image-96-angular,pdx-bsa-decimpr,0.578614,0.96226,0.279638,0.666885,12,8,10,10000,0.2,1,0.5907,1.495,0.2796,0
deep-image-96-angular,pdx-bsa-decimpr,0.525549,0.856769,0.271003,0.643155,10,8,10,10000,0.2,1,0.5368,5.038,0.271,0
deep-image-96-angular,pdx-bsa-decimpr,0.467052,0.740643,0.252948,0.613787,8,8,10,10000,0.2,1,0.4774,3.624,0.2529,0
deep-image-96-angular,pdx-bsa-decimpr,0.402118,0.622963,0.216095,0.572227,6,8,10,10000,0.2,1,0.4103,0.9063,0.2161,0
deep-image-96-angular,pdx-bsa-decimpr,0.316257,0.462829,0.197571,0.510771,4,8,10,10000,0.2,1,0.3242,9.33,0.1976,0
deep-image-96-angular,pdx-bsa-decimpr,0.243055,0.325617,0.165372,0.405781,2,8,10,10000,0.2,1,0.2475,4.381,0.1654,0
contriever-768,pdx-bsa-decimpr,64.9625,125.772,4.1565,0.99839,512,12,10,10000,0.2,1,65.64,240.7,4.157,0
contriever-768,pdx-bsa-decimpr,34.9914,64.0753,6.02587,0.995049,256,12,10,10000,0.2,1,35.1,84.98,2.686,0
contriever-768,pdx-bsa-decimpr,31.3481,57.0991,5.52215,0.99416,224,12,10,10000,0.2,1,31.49,83.27,2.462,0
contriever-768,pdx-bsa-decimpr,27.7962,50.7435,4.94308,0.993,192,12,10,10000,0.2,1,27.97,68.27,2.305,0
contriever-768,pdx-bsa-decimpr,23.539,42.1254,4.88554,0.991269,160,12,10,10000,0.2,1,23.66,55.07,2.03,0
contriever-768,pdx-bsa-decimpr,21.5187,38.387,4.53981,0.990369,144,12,10,10000,0.2,1,21.66,50.78,1.947,0
contriever-768,pdx-bsa-decimpr,19.5061,34.5442,4.23139,0.989039,128,12,10,10000,0.2,1,19.67,46.01,1.822,0
contriever-768,pdx-bsa-decimpr,17.3666,30.5665,4.29423,0.987649,112,12,10,10000,0.2,1,17.54,45.86,1.707,0
contriever-768,pdx-bsa-decimpr,15.2705,26.6454,3.95112,0.985999,96,12,10,10000,0.2,1,15.46,38.72,1.578,0
contriever-768,pdx-bsa-decimpr,13.1459,22.6825,3.63241,0.983059,80,12,10,10000,0.2,1,13.33,34.86,1.475,0
contriever-768,pdx-bsa-decimpr,10.941,18.6961,3.32051,0.979459,64,12,10,10000,0.2,1,11.15,35.7,1.336,0
contriever-768,pdx-bsa-decimpr,9.83267,16.7397,3.01127,0.976948,56,12,10,10000,0.2,1,10.02,26.94,1.27,0
contriever-768,pdx-bsa-decimpr,8.68955,14.6207,2.84323,0.973299,48,12,10,10000,0.2,1,8.881,28.51,1.19,0
contriever-768,pdx-bsa-decimpr,7.52974,12.6368,2.58883,0.968818,40,12,10,10000,0.2,1,7.709,27.53,1.135,0
contriever-768,pdx-bsa-decimpr,6.32157,10.5523,2.21955,0.961956,32,12,10,10000,0.2,1,6.488,21.81,1.038,0
contriever-768,pdx-bsa-decimpr,5.70054,9.51087,1.95448,0.957526,28,12,10,10000,0.2,1,5.856,25.29,1.008,0
contriever-768,pdx-bsa-decimpr,5.37773,8.9769,1.86497,0.954555,26,12,10,10000,0.2,1,5.527,21.18,0.9674,0
contriever-768,pdx-bsa-decimpr,5.07505,8.48656,1.80188,0.951255,24,12,10,10000,0.2,1,5.22,22.86,0.9717,0
contriever-768,pdx-bsa-decimpr,4.70311,7.86716,1.58775,0.947805,22,12,10,10000,0.2,1,4.838,23.1,0.9069,0
contriever-768,pdx-bsa-decimpr,4.39625,7.38841,1.49553,0.943074,20,12,10,10000,0.2,1,4.529,21.38,0.8922,0
contriever-768,pdx-bsa-decimpr,4.03309,6.77807,1.36966,0.937554,18,12,10,10000,0.2,1,4.152,20.64,0.8898,0
contriever-768,pdx-bsa-decimpr,3.7052,6.24713,1.25082,0.931574,16,12,10,10000,0.2,1,3.818,19.34,0.8003,0
contriever-768,pdx-bsa-decimpr,3.3137,5.59868,1.10821,0.924074,14,12,10,10000,0.2,1,3.418,20.58,0.7892,0
contriever-768,pdx-bsa-decimpr,2.92288,4.92288,0.956369,0.914293,12,12,10,10000,0.2,1,3.015,17.97,0.7084,0
contriever-768,pdx-bsa-decimpr,2.54837,4.29072,0.83582,0.901151,10,12,10,10000,0.2,1,2.633,17.17,0.6557,0
contriever-768,pdx-bsa-decimpr,2.15107,3.60486,0.723471,0.88317,8,12,10,10000,0.2,1,2.224,16.6,0.6066,0
contriever-768,pdx-bsa-decimpr,1.74115,2.89617,0.632453,0.854518,6,12,10,10000,0.2,1,1.805,16.92,0.559,0
contriever-768,pdx-bsa-decimpr,1.32122,2.16,0.496182,0.803528,4,12,10,10000,0.2,1,1.374,16.41,0.4962,0
contriever-768,pdx-bsa-decimpr,0.877584,1.45846,0.368389,0.686462,2,12,10,10000,0.2,1,0.91,7.189,0.3684,0
instructorxl-arxiv-768,pdx-bsa-decimpr,29.8964,53.9214,5.80139,0.812301,512,12,10,1000,0.2,1,29.95,55.16,5.801,0
instructorxl-arxiv-768,pdx-bsa-decimpr,17.0943,31.6118,3.4051,0.809301,256,12,10,1000,0.2,1,17.16,45.0,3.405,0
instructorxl-arxiv-768,pdx-bsa-decimpr,15.3743,29.0798,3.04502,0.807501,224,12,10,1000,0.2,1,15.4,39.56,3.045,0
instructorxl-arxiv-768,pdx-bsa-decimpr,13.5809,25.8371,2.73263,0.805401,192,12,10,1000,0.2,1,13.61,30.02,2.733,0
instructorxl-arxiv-768,pdx-bsa-decimpr,11.72,21.9005,2.42357,0.802801,160,12,10,1000,0.2,1,11.77,33.52,2.424,0
instructorxl-arxiv-768,pdx-bsa-decimpr,10.802,20.7115,2.29162,0.800701,144,12,10,1000,0.2,1,10.85,26.36,2.292,0
instructorxl-arxiv-768,pdx-bsa-decimpr,10.3762,20.217,2.2202,0.796901,128,12,10,1000,0.2,1,10.56,33.12,2.22,0
instructorxl-arxiv-768,pdx-bsa-decimpr,8.88436,16.7641,1.99418,0.794201,112,12,10,1000,0.2,1,8.944,28.27,1.994,0
instructorxl-arxiv-768,pdx-bsa-decimpr,7.89359,14.7129,1.8289,0.791001,96,12,10,1000,0.2,1,7.949,26.3,1.829,0
instructorxl-arxiv-768,pdx-bsa-decimpr,6.86563,12.9722,1.66716,0.786301,80,12,10,1000,0.2,1,6.915,24.44,1.667,0
instructorxl-arxiv-768,pdx-bsa-decimpr,5.80242,11.0824,1.50565,0.780001,64,12,10,1000,0.2,1,5.836,20.8,1.506,0
instructorxl-arxiv-768,pdx-bsa-decimpr,5.24474,10.03,1.40301,0.776101,56,12,10,1000,0.2,1,5.286,20.04,1.403,0
instructorxl-arxiv-768,pdx-bsa-decimpr,4.68674,9.1182,1.30175,0.770801,48,12,10,1000,0.2,1,4.713,18.26,1.302,0
instructorxl-arxiv-768,pdx-bsa-decimpr,4.15669,7.75484,1.20294,0.762601,40,12,10,1000,0.2,1,4.173,20.6,1.203,0
instructorxl-arxiv-768,pdx-bsa-decimpr,3.53503,6.69446,1.10841,0.753101,32,12,10,1000,0.2,1,3.56,19.05,1.108,0
instructorxl-arxiv-768,pdx-bsa-decimpr,3.22174,6.08331,1.03992,0.746701,28,12,10,1000,0.2,1,3.237,18.02,1.04,0
instructorxl-arxiv-768,pdx-bsa-decimpr,3.06663,5.75349,1.02567,0.743001,26,12,10,1000,0.2,1,3.082,16.06,1.026,0
instructorxl-arxiv-768,pdx-bsa-decimpr,2.90582,5.53163,1.017,0.7393,24,12,10,1000,0.2,1,2.932,16.49,1.017,0
instructorxl-arxiv-768,pdx-bsa-decimpr,2.74324,5.2102,0.971127,0.7323,22,12,10,1000,0.2,1,2.762,18.03,0.9711,0
instructorxl-arxiv-768,pdx-bsa-decimpr,2.50889,4.6681,0.905169,0.7264,20,12,10,1000,0.2,1,2.525,16.62,0.9052,0
