dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
instructorxl-arxiv-768,pdx-bsa-dz,4.81802,7.38834,2.14873,0.935701,40,12,10,1000,0.2,1,4.862,20.53,1.115,0
instructorxl-arxiv-768,pdx-bsa-dz,4.0669,6.3232,1.88418,0.922801,32,12,10,1000,0.2,1,4.096,19.71,1.03,0
instructorxl-arxiv-768,pdx-bsa-dz,3.6504,5.6838,1.5826,0.914001,28,12,10,1000,0.2,1,3.681,19.97,0.9413,0
instructorxl-arxiv-768,pdx-bsa-dz,3.45611,5.41967,1.53709,0.908801,26,12,10,1000,0.2,1,3.486,18.62,0.9272,0
instructorxl-arxiv-768,pdx-bsa-dz,3.25994,5.11606,1.47399,0.902401,24,12,10,1000,0.2,1,3.301,18.16,0.8922,0
instructorxl-arxiv-768,pdx-bsa-dz,3.06653,4.80913,1.43327,0.894001,22,12,10,1000,0.2,1,3.092,17.22,0.8627,0
instructorxl-arxiv-768,pdx-bsa-dz,2.86426,4.48235,1.36965,0.8854,20,12,10,1000,0.2,1,2.891,17.32,0.8488,0
instructorxl-arxiv-768,pdx-bsa-dz,2.66276,4.18836,1.31679,0.8771,18,12,10,1000,0.2,1,2.688,16.53,0.8266,0
instructorxl-arxiv-768,pdx-bsa-dz,2.4574,3.8296,1.21885,0.8654,16,12,10,1000,0.2,1,2.483,16.86,0.8139,0
instructorxl-arxiv-768,pdx-bsa-dz,2.25233,3.50361,1.13388,0.8535,14,12,10,1000,0.2,1,2.266,17.24,0.7988,0
instructorxl-arxiv-768,pdx-bsa-dz,2.03989,3.16452,1.04587,0.835301,12,12,10,1000,0.2,1,2.054,16.98,0.7907,0
instructorxl-arxiv-768,pdx-bsa-dz,1.82472,2.78872,0.989064,0.811401,10,12,10,1000,0.2,1,1.829,5.689,0.7689,0
instructorxl-arxiv-768,pdx-bsa-dz,1.59577,2.42988,0.879795,0.778401,8,12,10,1000,0.2,1,1.61,16.46,0.7349,0
instructorxl-arxiv-768,pdx-bsa-dz,1.35959,2.05095,0.720312,0.7419,6,12,10,1000,0.2,1,1.364,4.555,0.7203,0
instructorxl-arxiv-768,pdx-bsa-dz,1.1031,1.62936,0.624747,0.6722,4,12,10,1000,0.2,1,1.119,15.53,0.6247,0
instructorxl-arxiv-768,pdx-bsa-dz,0.818054,1.20177,0.448122,0.5299,2,12,10,1000,0.2,1,0.8213,1.312,0.4481,0
openai-1536-angular,pdx-bsa-dz,18.387,31.3454,5.53292,0.9939,512,16,10,1000,0.2,1,18.53,43.96,4.719,0
openai-1536-angular,pdx-bsa-dz,10.386,17.626,3.46194,0.983801,256,16,10,1000,0.2,1,10.49,21.01,3.058,0
openai-1536-angular,pdx-bsa-dz,9.37385,15.3324,3.41066,0.979901,224,16,10,1000,0.2,1,9.474,18.99,2.935,0
openai-1536-angular,pdx-bsa-dz,9.66946,15.8684,3.56499,0.976901,192,16,10,1000,0.2,1,9.741,19.35,3.125,0
openai-1536-angular,pdx-bsa-dz,9.12159,16.7112,2.64419,0.973201,160,16,10,1000,0.2,1,9.451,23.92,2.644,0
